"lat","lon","vehicle_capacity"
"35.652519","139.616033","5"
"35.622541","139.63343","7"
"35.632954","139.599055","3"
"35.771544","139.781165","4"
"35.744905","139.786518","3"
"35.710674","139.775634","6"
"35.70984","139.80224","2"
"35.561595","139.737962","6"
"35.641868","139.699861","5"
"35.7701859","139.6698751","7"
"35.7821835","139.6537902","9"
"35.7735604","139.6452692","10"
"35.7768838","139.6441594","6"
"35.7823162","139.6312583","4"
"35.6401092","139.5995291","7"
"35.643548","139.6106479","3"
"35.647138","139.622607","7"
"35.6509533","139.6360447","10"
"35.6521863","139.6411359","8"
"35.653499675543","139.64616460373","4"
"35.6627678","139.6689893","7"
"35.706834","139.782996","19"
"35.7796659","139.6875582","8"
"35.780972","139.6885667","8"
"35.7819515","139.6885211","9"
"35.7869103","139.6704337","9"
"35.7958724","139.6502742","10"
"35.7945396","139.6811367","7"
"35.767126","139.6700689","9"
"35.774322","139.6766379","6"
"35.7740356","139.6828788","9"
"35.7689995","139.6882915","3"
"35.7626412","139.6876665","6"
"35.7537145","139.6903809","7"
"35.7523385","139.7047938","7"
"35.7513944","139.7053537","3"
"35.7531224","139.7172567","10"
"35.7539036","139.7147803","5"
"35.756711","139.6865997","8"
"35.7556988","139.7175051","8"
"35.725716","139.71421","11"
"35.801173","139.787631","18"
"35.766952","139.771047","11"
"35.702646","139.868084","6"
"35.558282","139.719713","2"
"35.704469","139.677388","16"
"35.685694","139.867673","2"
"35.630815","139.5589235","6"
"35.6287407","139.5616399","5"
"35.6133928","139.5818168","4"
"35.6148878","139.5530696","7"
"35.6220212","139.5673074","6"
"35.563280769477","139.71962034702","32"
"35.705094","139.680224","10"
"35.769036","139.646022","3"
"35.775445","139.675426","8"
"35.768169","139.688511","4"
"35.782879","139.669724","4"
"35.788964","139.652354","4"
"35.78998","139.642797","4"
"35.784274","139.632779","10"
"35.6408585","139.5592571","7"
"35.7885726","139.7061057","5"
"35.583651","139.666125","15"
"35.573637","139.670978","6"
"35.563103","139.67703","7"
"35.556121","139.685587","5"
"35.553374","139.695119","15"
"35.592235139789","139.60027948967","3"
"35.761675911353","139.82104402142","7"
"35.653549","139.571319","10"
"35.7959195","139.7935588","10"
"35.7740905","139.8043212","7"
"35.7802088","139.7489097","5"
"35.778678","139.7615134","5"
"35.7790283","139.7744296","7"
"35.7762683","139.7906255","58"
"35.5627975","139.5722712","6"
"35.7668475","139.6219847","4"
"35.713613","139.701169","30"
"35.79651689","139.601725","10"
"35.6157431","139.5719708","6"
"35.7650668","139.5556998","8"
"35.705295","139.797804","6"
"35.756096","139.697253","4"
"35.700962","139.566442","5"
"35.763201","139.69269","10"
"35.781067","139.685219","10"
"35.782192","139.690197","5"
"35.567661","139.728398","10"
"35.59942","139.614697","13"
"35.720659","139.817357","3"
"35.716334","139.860907","4"
"35.753288681185","139.73903283477","18"
"35.800949","139.804826","8"
"35.767292","139.73838","7"
"35.597083","139.640161","5"
"35.6642249","139.5844337","7"
"35.739591","139.808444","5"
"35.78115","139.82667","6"
"35.682577","139.881711","4"
"35.718519","139.857758","4"
"35.786657","139.669482","6"
"35.7814919","139.6191911","6"
"35.669799","139.80856","7"
"35.598857","139.649949","4"
"35.73279","139.806696","10"
"35.733016","139.80831","3"
"35.783369","139.687436","3"
"35.747002","139.696383","6"
"35.771614","139.669253","6"
"35.793454","139.8281875","6"
"35.774969","139.798465","5"
"35.774854887269","139.7998586297","6"
"35.719102467634","139.82080668211","22"
"35.790254","139.830833","6"
"35.8000229","139.5795237","6"
"35.7457606","139.7183444","14"
"35.6364775","139.586506","5"
"35.7756658","139.6488469","16"
"35.7773745","139.6862594","5"
"35.6369884","139.5882545","5"
"35.658527","139.6679188","11"
"35.789157","139.67404","4"
"35.7903463","139.6033338","4"
"35.66085736","139.5834944","5"
"35.67765592","139.5683402","6"
"35.69245192","139.569594","10"
"35.654611251508","139.76147890091","13"
"35.68289","139.538983","5"
"35.662761","139.553165","4"
"35.66033","139.557701","4"
"35.6485274","139.567979","4"
"35.6368759","139.5753939","4"
"35.6620093","139.587024","4"
"35.647015","139.592041","4"
"35.6478575","139.6250943","6"
"35.796202","139.732329","5"
"35.7867765","139.6633142","4"
"35.786796","139.667001","8"
"35.783344","139.664626","6"
"35.785399","139.661663","6"
"35.787152","139.659727","8"
"35.769985","139.639269","6"
"35.769988","139.639494","6"
"35.638341","139.55341","4"
"35.646747","139.54079","8"
"35.658696","139.540193","6"
"35.7018557","139.6987866","7"
"35.702724","139.6990723","6"
"35.779741","139.830054","6"
"35.785658","139.553972","10"
"35.78696","139.550083","10"
"35.799421","139.566095","8"
"35.800049","139.562918","8"
"35.645476","139.556097","6"
"35.6603264","139.572396","15"
"35.6659201","139.588686","6"
"35.716561","139.558927","3"
"35.784501091011","139.82120096684","22"
"35.7939721","139.5652797","25"
"35.798851","139.562187","5"
"35.791044","139.578847","16"
"35.783679","139.575362","5"
"35.780615","139.573657","4"
"35.775964","139.576793","5"
"35.7690489","139.577378","5"
"35.773577","139.581208","4"
"35.7790536","139.5886655","15"
"35.75557969","139.6825279","8"
"35.77292554","139.5583062","6"
"35.768902","139.562299","6"
"35.76563","139.562732","4"
"35.765981","139.551959","5"
"35.758545","139.548591","5"
"35.773824","139.545251","8"
"35.7682384","139.8230322","5"
"35.762211","139.845025","6"
"35.565227","139.648235","14"
"35.6441454","139.5710653","4"
"35.7424832","139.8274311","3"
"35.7754582","139.8408307","3"
"35.6427974","139.6094778","8"
"35.5905066","139.6231754","6"
"35.7992312","139.7429106","10"
"35.8006262","139.7299244","30"
"35.80264","139.7176258","15"
"35.657899","139.620346","10"
"35.7460141","139.8027003","7"
"35.5686407","139.647879","13"
"35.64321","139.66054","21"
"35.660917","139.852168","5"
"35.653462","139.859792","5"
"35.650439","139.871122","15"
"35.650259","139.873083","8"
"35.649224","139.88316","10"
"35.655053","139.879509","10"
"35.666163","139.877717","8"
"35.681751371069","139.88203033204","4"
"35.684449367164","139.87850209877","5"
"35.712323","139.7077256","3"
"35.740321","139.884841","5"
"35.725823","139.872603","5"
"35.714328","139.840366","5"
"35.711994","139.839727","5"
"35.702683","139.840095","5"
"35.69724","139.852263","6"
"35.683127","139.858344","7"
"35.669946","139.853284","15"
"35.670493","139.858251","6"
"35.681692745742","139.882255878","4"
"35.71361","139.87033","10"
"35.711514","139.867809","5"
"35.705584","139.866277","7"
"35.709491","139.860632","5"
"35.702909","139.878102","5"
"35.689608","139.884422","6"
"35.557488","139.676964","11"
"35.567895","139.658109","8"
"35.566819","139.657485","8"
"35.576336","139.654859","4"
"35.580828403319","139.65695351799","8"
"35.5893563","139.650244","18"
"35.5892963","139.6483899","6"
"35.604913812829","139.62471172214","4"
"35.607659358019","139.61858287454","4"
"35.605873346877","139.59919989109","4"
"35.592805249152","139.61511075497","8"
"35.58952","139.602555","8"
"35.588962054758","139.57827597857","4"
"35.58350703","139.5834226","4"
"35.576737","139.583583","5"
